0,0,0
0,0,0
110,19.45,123.47,116.54,440
0,0,0
0,0,0
0,0,0
19.45,19.45,16.35
0,0,0
16.35,16.35,16.35
110,110,110
110,110,110
16.35,16.35,16.35
19.45,19.45,19.45
0,0,0
0,0,0
0,0,0
123.47,19.45,19.45
24.5,24.5,24.5
0,0,0
21.83,21.83,21.83
123.47,123.47,123.47
0,0,0
0,0,0
16.35,16.35,16.35
0,0,0
19.45,19.45,19.45
16.35,16.35,16.35
16.35,16.35,16.35
0,0,0
0,0,0
110,110,110
0,0,0
116.54,116.54,116.54
29.14,29.14,29.14
19.45,19.45,19.45
110,110,110
0,0,0
116.54,116.54,116.54
0,0,0
123.47,123.47,123.47
0,0,0
16.35,16.35,16.35
0,0,0
0,0,0
18.35,18.35,18.35
0,0,0
0,0,0
116.54,116.54,116.54
110,110,110
19.45,19.45,19.45
0,0,0
110,110,110
0,0,0
18.35,18.35,18.35
0,0,0
0,0,0
110,110,110
0,0,0
0,0,0
110,110,110
0,0,0
0,0,0
0,0,0
18.35,18.35,18.35
0,0,0
123.47,123.47,123.47
0,0,0
110,110,110
110,110,110
110,110,110
0,0,0
0,0,0
0,0,0
18.35,18.35,18.35
123.47,123.47,123.47
0,0,0
18.35,18.35,18.35
0,0,0
110,110,110
0,0,0
0,0,0
110,110,110
110,110,110
123.47,123.47,123.47
123.47,123.47,123.47
110,110,110
0,0,0
123.47,123.47,123.47
0,0,0
17.32,17.32,17.32
18.35,18.35,18.35
110,110,110
0,0,0
116.54,116.54,116.54
0,0,0
123.47,123.47,123.47
0,0,0
123.47,123.47,123.47
0,0,0
0,0,0
110,110,110
18.35,18.35,18.35
18.35,18.35,18.35
0,0,0
18.35,18.35,18.35
110,110,110
116.54,116.54,116.54
110,110,110
123.47,123.47,123.47
0,0,0
0,0,0
123.47,123.47,123.47
0,0,0
18.35,18.35,18.35
0,0,0
20.6,20.6,20.6
0,0,0
123.47,123.47,123.47
0,0,0
0,0,0
20.6,20.6,20.6
110,110,110
0,0,0
123.47,123.47,123.47
123.47,123.47,123.47
0,0,0
0,0,0
0,0,0
116.54,116.54,116.54
0,0,0
123.47,123.47,123.47
123.47,123.47,123.47
0,0,0
